player,team,nation,pos,age,90s Playing Time,npxG Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Elysée Logbo,Le Havre,FRA,FW,19.0,2.8,0.12,0.0,0.04,0.16,1.45,0.0,2,3,0,0,1,1,4,7,0,0,4,12,0,35,36,9,9
Emanuel Emegha,Strasbourg,NED,FW,20.0,23.1,0.44000000000000006,0.35000000000000003,0.02,0.49,2.04,0.17,11,9,2,0,24,13,10,115,5,2,33,26,24,232,238,44,8
Emanuel Vignato,Salernitana,ITA,"MF,FW",22.0,3.5,0.01,0.0,0.1,0.11,0.29,0.0,11,5,0,0,5,1,1,15,7,1,0,3,1,38,86,31,0
Emanuele Valeri,Frosinone,ITA,DF,24.0,13.1,0.07,0.0,0.19,0.25,1.4499999999999997,0.0,41,23,13,9,38,6,12,61,16,9,9,12,8,263,275,174,5
Emerson,Tottenham,BRA,DF,24.0,12.9,0.02,0.08,0.03,0.05,0.47,0.17,57,3,7,2,21,2,10,35,24,20,15,14,38,249,517,462,7
Emerson Palmieri,West Ham,ITA,DF,28.0,34.9,0.04,0.03,0.07,0.11,0.55,0.05,125,25,22,7,59,9,24,124,68,43,25,32,33,521,988,679,5
Emil Audero,Inter,IDN,GK,26.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200,0
Emil Bohinen,Genoa,NOR,MF,24.0,6.5,0.009076923076923078,0.0,0.052000000000000005,0.06107692307692308,0.6081538461538462,0.0,29,7,4,1,8,0,5,11,7,14,13,5,6,84,258,118,0
Emil Ceide,Sassuolo,NOR,"FW,MF",21.0,2.0,0.05,0.0,0.12,0.17,1.02,0.0,3,4,2,0,12,5,13,16,2,0,0,2,1,45,31,13,0
Emil Forsberg,RB Leipzig,SWE,"MF,FW",31.0,5.2,0.11000000000000001,0.39,0.17,0.44000000000000006,2.13,0.18,22,6,3,0,8,4,3,38,3,0,2,4,9,105,132,25,8
Emil Krafth,Newcastle Utd,SWE,DF,28.0,10.1,0.02,0.0,0.1,0.12,0.39,0.0,29,9,13,7,12,1,3,33,14,9,13,10,7,145,241,279,3
Emile Smith Rowe,Arsenal,ENG,MF,23.0,3.9,0.5,0.0,0.06,0.56,3.82,0.0,23,4,11,0,11,1,3,18,1,3,3,5,2,127,106,21,9
Emiliano Martínez,Aston Villa,ARG,GK,30.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,5,1,7,0,25,1484,16
Emir Karic,Darmstadt 98,AUT,DF,26.0,19.8,0.02,0.0,0.06,0.08,0.61,0.0,115,21,27,9,56,1,18,85,27,13,21,17,7,344,689,389,5
Emmanuel Agbadou,Reims,CIV,DF,26.0,28.8,0.08,0.03,0.05,0.13,1.11,0.03,179,12,5,1,42,2,15,19,41,55,45,31,10,165,1233,820,4
Emmanuel Ekong,Empoli,SWE,FW,21.0,0.1,0.0,0.0,0.19000000000000003,0.19000000000000003,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0
