player,team,nation,pos,age,npxG Per 90 Minutes,npxG Per 90 Minutes,G-PK Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,Sh/90 Standard,G/Sh Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Alberto Soro,Granada,ESP,MF,24.0,0.0,0.0,0.0,0.0,0.051000000000000004,0.51,0.051000000000000004,0.51,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1
Aleix García,Girona,ESP,MF,26.0,1.7750000000000001,0.05,2.84,0.08,5.68,0.16,7.455,0.21,39.050000000000004,1.1,2.84,0.08,294,57,27,8,58,3,15,52,28,36,17,29,36,651,1809,780,4
Alejandro Garnacho,Manchester Utd,ARG,FW,19.0,8.264999999999999,0.29,7.125,0.25,5.13,0.18,13.395,0.47,100.035,3.51,1.995,0.07,62,46,22,4,178,102,48,281,15,18,6,20,54,741,403,180,4
Alejandro Pozo Pozo,Almería,ESP,"DF,MF",24.0,0.43200000000000005,0.04,0.0,0.0,0.648,0.06,1.08,0.1,3.996,0.37,0.0,0.0,44,13,15,8,22,3,1,62,12,7,5,16,6,184,340,186,2
Alejo Véliz,Tottenham,ARG,FW,19.0,0.502,0.502,1.08,1.08,0.0,0.0,0.502,0.502,4.216,4.216,0.3,0.3,1,0,0,0,0,0,1,4,0,0,4,4,2,17,12,3,6
Aleksandar Mitrović,Fulham,SRB,FW,28.0,0.17600000000000002,0.44,0.0,0.0,0.0,0.0,0.17600000000000002,0.44,2.18,5.45,0.0,0.0,1,0,1,0,0,0,3,0,0,0,2,0,0,6,6,1,1
Aleksandar Radovanović,Almería,SRB,DF,29.0,0.063,0.01,0.0,0.0,0.0,0.0,0.063,0.01,1.008,0.16,0.0,0.0,5,1,0,0,0,0,0,1,7,11,14,7,2,3,100,177,0
Aleksandar Sedlar,Alavés,SRB,DF,31.0,0.315,0.03,1.05,0.1,0.105,0.01,0.315,0.03,3.99,0.38,2.625,0.25,26,2,0,0,6,0,2,1,10,13,17,14,4,18,204,277,6
Aleksandr Golovin,Monaco,RUS,"MF,FW",27.0,3.346,0.14,5.975,0.25,4.78,0.2,8.126,0.34,43.976,1.84,3.346,0.14,172,50,62,5,50,18,24,157,30,21,12,25,36,688,637,161,4
Aleksei Miranchuk,Atalanta,RUS,"MF,FW",27.0,5.3709999999999996,0.41,3.013,0.23,4.061,0.31,9.431999999999999,0.7199999999999999,37.073,2.83,1.048,0.08,75,45,29,9,41,10,17,122,6,2,7,12,31,407,323,62,4
Alessandro Bastoni,Inter,ITA,DF,24.0,1.26,0.05,1.008,0.04,3.276,0.13,4.536,0.18,15.12,0.6,1.764,0.07,142,22,35,14,63,6,10,77,33,23,37,31,31,388,986,769,4
Alessandro Buongiorno,Torino,ITA,DF,24.0,1.686,0.06,3.091,0.11,0.0,0.0,1.686,0.06,12.926000000000002,0.46,6.463000000000001,0.23,62,4,4,1,14,2,0,10,39,69,78,69,39,64,748,739,2
Alessandro Dellavalle,Torino,ITA,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,4,4,0
Alessandro Di Pardo,Cagliari,ITA,"DF,MF",24.0,0.08,0.02,0.0,0.0,0.2,0.05,0.28,0.07,3.0,0.75,0.0,0.0,11,5,7,4,6,0,1,19,1,5,4,3,2,72,84,59,0
Alessandro Florenzi,Milan,ITA,DF,32.0,1.728,0.09,0.96,0.05,3.456,0.18,4.992,0.26,31.871999999999996,1.66,0.576,0.03,106,45,25,9,29,1,1,50,21,20,7,11,9,354,699,403,4
Alessandro Sorrentino,Monza,ITA,GK,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,203,0
Alessandro Vogliacco,Genoa,ITA,DF,24.0,0.39,0.030000000000000002,0.0,0.0,0.52,0.04,0.9100000000000001,0.07,4.94,0.38,0.0,0.0,49,13,12,7,8,4,3,12,15,30,25,13,4,67,381,311,2
Alessandro Zanoli,Napoli,ITA,"DF,FW",22.0,0.204,0.01888888888888889,0.0,0.0,1.734,0.16055555555555556,1.938,0.17944444444444446,2.9579999999999997,0.2738888888888889,0.0,0.0,32,12,7,2,29,6,6,48,14,2,7,8,4,189,257,135,2
Alessio Cragno,Sassuolo,ITA,GK,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,110,0
Alessio Romagnoli,Lazio,ITA,DF,28.0,0.536,0.02,0.0,0.0,0.536,0.02,1.072,0.04,10.988,0.41,0.0,0.0,87,6,5,1,7,0,0,2,18,29,76,34,19,36,992,973,2
Alessio Zerbin,Monza,ITA,"DF,FW",24.0,0.635,0.06827956989247312,0.0,0.0,1.4649999999999999,0.1575268817204301,2.1,0.22580645161290328,9.064,0.9746236559139786,0.0,0.0,23,16,14,11,23,7,15,64,12,3,3,25,17,197,182,98,2
Alex Baena,Villarreal,ESP,"MF,FW",22.0,7.175,0.25,2.0090000000000003,0.07000000000000002,9.184,0.32,17.22,0.6,72.03699999999999,2.51,0.861,0.03,165,83,59,15,84,23,26,181,21,13,8,52,57,693,650,224,4
Alex Iwobi,Everton,NGA,MF,27.0,5.704,0.21938461538461537,5.124,0.19707692307692307,4.86,0.18692307692307694,10.564,0.4063076923076923,55.108,2.1195384615384616,2.44,0.09384615384615384,151,53,49,9,115,29,40,183,18,15,6,12,5,575,602,195,4
Alex Matos,Chelsea,ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Meret,Napoli,ITA,GK,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,4,0,3,0,3,956,7
Alex Murphy,Newcastle Utd,IRL,"DF,FW",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,2,0,2,15,4,0
Alex Sandro,Juventus,BRA,DF,32.0,0.4,0.05,0.96,0.12,0.88,0.11,1.28,0.16,4.96,0.62,1.6,0.2,43,5,7,3,16,0,3,9,7,15,12,17,12,85,338,217,6
Alex Sola,Alavés,ESP,"FW,MF",24.0,1.68,0.11748251748251748,0.0,0.0,2.24,0.15664335664335666,3.9200000000000004,0.27412587412587414,28.0,1.958041958041958,0.0,0.0,43,27,19,9,41,12,43,103,15,12,18,13,30,319,231,115,4
